b,testyear,regname
136.8862109416657780,2019,Одеська область
138.1177802944507361,2019,Донецька область
138.9056944862910515,2019,Миколаївська область
139.6701589595375723,2019,Кіровоградська область
139.8541400731852608,2019,Дніпропетровська область
139.9156556903523975,2019,Херсонська область
140.5387803433984606,2020,Херсонська область
140.7608012568735271,2019,Закарпатська область
140.9838801441304760,2019,Запорізька область
141.0695088044485635,2019,Луганська область
141.1876650320633723,2020,Запорізька область
141.2509395779126915,2020,Миколаївська область
141.2524148179598769,2020,Одеська область
141.9225077881619938,2020,Закарпатська область
141.9528497409326425,2020,Донецька область
142.4346328195829556,2019,Вінницька область
143.0882633587786260,2019,Житомирська область
143.2185669220369536,2020,Луганська область
143.2916666666666667,2019,Чернівецька область
143.4348568987612132,2019,Полтавська область
143.6222781296087447,2020,Дніпропетровська область
143.8717277486910995,2020,Кіровоградська область
144.8661729701137265,2019,Хмельницька область
145.8832997987927565,2019,Сумська область
146.3081046312178388,2019,Харківська область
146.5557220453268402,2020,Вінницька область
147.4235347985347985,2020,Полтавська область
147.5229638701775873,2020,Чернігівська область
147.5533941236068896,2019,Київська область
147.8982889733840304,2020,Житомирська область
148.0448665015139004,2019,Рівненська область
148.2355200000000000,2019,Чернігівська область
148.4819148936170213,2020,Чернівецька область
148.7361533779671333,2019,Черкаська область
148.8082844574780059,2020,Київська область
148.8234256665629215,2020,Харківська область
148.9595987740317637,2020,Черкаська область
149.0824960338445267,2020,Хмельницька область
149.6281869688385269,2020,Тернопільська область
150.0770118257859821,2019,Івано-Франківська область
150.3720547945205479,2020,Сумська область
150.7350662334416396,2020,Рівненська область
150.9135908440629471,2019,Волинська область
151.0625747309685134,2019,Тернопільська область
151.9256756756756757,2020,Волинська область
152.1190342504211117,2020,Івано-Франківська область
152.2412598425196850,2019,м.Київ
153.1644881434355119,2019,Львівська область
154.1081750018199025,2020,м.Київ
155.0986513751725603,2020,Львівська область
